paper_id,img_name,image_path,raw_caption,preprocessed_text,similarity,similarity_raw,negative_tokens,penalty,token_overlap_count,best_query,sbert_sim,best_sbert_query,combined_score,selected,extracted,sim_circuit_fundamentals,sim_quantum_algorithms,sim_variational_circuits,sim_communication_and_entanglement
2507.16255,simple-not-circuit.png,images_extracted\2507_16255_0_simple-not-circuit.png,Simple circuit with a single X gate.,simpl circuit singl x gate,0.5056832088559113,0.31910718506052566,0,0.0,2,circuit_fundamentals,0.9066523313522339,circuit_fundamentals,0.0,True,True,0.5056832088559113,0.3805400751321896,0.46350773952417396,0.3132448365800766
2410.18746,n7,,"Single-shot rotation algorithm circuit, n = 7.",singl shot rotat algorithm circuit n,0.36763163350097233,0.24843854288851633,0,0.0,3,variational_circuits,0.858925461769104,variational_circuits,0.0,True,True,0.25372658338133686,0.3255036417973564,0.36763163350097233,0.20964505479515272
2410.18746,n8,,"Single-shot rotation algorithm circuit, n = 8.",singl shot rotat algorithm circuit n,0.36763163350097233,0.24843854288851633,0,0.0,3,variational_circuits,0.8570876717567444,circuit_fundamentals,0.0,True,True,0.25372658338133686,0.3255036417973564,0.36763163350097233,0.20964505479515272
2410.18746,n6,,"Single-shot rotation algorithm circuit, n = 6.",singl shot rotat algorithm circuit n,0.36763163350097233,0.24843854288851633,0,0.0,3,variational_circuits,0.8523212671279907,circuit_fundamentals,0.0,True,True,0.25372658338133686,0.3255036417973564,0.36763163350097233,0.20964505479515272
2410.18746,n5,,"Single-shot rotation algorithm circuit, n = 5.",singl shot rotat algorithm circuit n,0.36763163350097233,0.24843854288851633,0,0.0,3,variational_circuits,0.8513884544372559,circuit_fundamentals,0.0,True,True,0.25372658338133686,0.3255036417973564,0.36763163350097233,0.20964505479515272
2410.18746,n4,,"Single-shot rotation algorithm circuit, n = 4.",singl shot rotat algorithm circuit n,0.36763163350097233,0.24843854288851633,0,0.0,3,variational_circuits,0.8482206463813782,circuit_fundamentals,0.0,True,True,0.25372658338133686,0.3255036417973564,0.36763163350097233,0.20964505479515272
2508.08852,__LATEX_RENDER__,,quantum query algorithm with recording oracle.,quantum queri algorithm record oracl,0.45211769404489244,0.36127471208739664,0,0.0,3,quantum_algorithms,0.8408201336860657,quantum_algorithms,0.0,True,False,0.2756525962785018,0.45211769404489244,0.3674108722454237,0.363198418920037
2508.08852,__LATEX_RENDER__,,Canonical form of a (memoryless) quantum query algorithm.,canon form memoryless quantum queri algorithm,0.3736701037259925,0.25679389054242063,0,0.0,2,quantum_algorithms,0.837967574596405,quantum_algorithms,0.0,True,False,0.23884311301497277,0.3736701037259925,0.3566165618245164,0.3430878136098783
2509.04761,example-plot.pdf,,"Since the gate C is paired with the gate A, it is replaced by a CX gate as for the gate A.
In addition, the state of the target qubit should return to the  state.",gate c pair gate replac cx gate gate addit state target qubit return state,0.6262670373488641,0.2581119204897071,0,0.0,4,circuit_fundamentals,0.8779860734939575,circuit_fundamentals,0.0,True,False,0.6262670373488641,0.4396003845284229,0.4875040635751937,0.416296846073788
2407.04826,reorder.png,images_extracted\2407_04826_0_reorder.png,The 4gt4_20 quantum circuit with MCT gates using IBM.,4gt4 quantum circuit mct gate use ibm,0.5026206306664305,0.3066470366524731,0,0.0,4,variational_circuits,0.9116500020027161,quantum_algorithms,0.0,True,True,0.434964520208249,0.4046293295799178,0.5026206306664305,0.34479601854081243
